,IMF1
649,-2.310949813
650,-1.908152522
651,1.440629707
652,2.532803929
653,0.605785063
654,-2.721981731
655,-0.416891757
656,-3.488853875
657,8.241932807
658,6.555813276
659,-4.687186895
660,-3.851267789
661,-0.536114978
662,5.250320046
663,4.062381334
664,-11.70496511
665,7.816743867
666,0.445250556
667,0.59243559
668,-1.450660292
669,1.047093612
670,1.6314348
671,-2.424609425
672,2.816655557
673,-5.184699918
674,1.494437498
675,-2.279975914
676,1.186515065
677,0.49177481
678,-0.886665199
679,6.716606011
680,-5.13035416
681,-3.835583371
682,5.99335034
683,1.288146625
684,-3.705898314
685,-6.253701194
686,6.977734139
687,2.853786613
688,-3.290837243
689,-4.673410208
690,5.347607266
691,-5.730158075
692,2.914768875
693,8.841328018
694,-8.664024146
695,4.137687734
696,-3.722218841
697,-1.187391519
698,3.018755672
699,0.980060801
700,-3.039438516
701,4.854702833
702,-7.96024678
703,1.14819913
704,5.66719118
705,-2.868782112
706,-5.505131379
707,3.08883417
708,0.604261389
709,0.83736223
710,-0.85348774
711,-1.113750412
712,5.508696064
713,-9.437806686
714,-2.563794991
715,6.915299309
716,2.078644821
717,-1.634082835
718,-1.347782327
719,1.893389449
720,1.636189254
721,-2.243890147
722,-2.381317882
723,-3.114720079
724,7.851300176
725,-3.924976595
726,-1.924588368
727,6.807744526
728,-4.650981914
729,3.696531519
730,3.491471648
731,-5.101485497
732,-0.939684521
733,-1.427375352
734,0.353031014
735,1.346959629
736,3.644232984
737,-0.463911371
738,-6.38351612
739,-4.396317409
740,12.47807782
741,-0.745727837
742,-5.07408473
743,1.801913859
744,-5.792115337
745,6.838476372
746,1.485731742
747,-3.132003587
748,0.329687672
749,1.166219798
750,2.419247197
751,-0.577715021
752,-6.993774144
753,7.294046192
754,0.544198672
755,0.612622489
756,1.734088352
757,-4.230342572
758,2.175059661
759,-3.673140911
760,3.666676814
